epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,3187.61,0.79415,0.4289,0.01038,0.98557,0.98233,0.99426,0.89915,0.53388,0.18294,0.01079,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
78,3227.8,0.77922,0.40588,0.01023,0.98224,0.97701,0.99391,0.9074,0.53251,0.18897,0.01065,0.0273662,0.00912207,0.0273662,0.00912207,0.0273662,0.00912207,0.0273662,0.00912207
79,3267.72,0.77348,0.41091,0.01015,0.96859,0.98071,0.99339,0.89707,0.5394,0.20048,0.01072,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
80,3307.66,0.79195,0.41296,0.01064,0.96176,0.97765,0.99258,0.90014,0.55502,0.20735,0.01137,0.0272321,0.00907736,0.0272321,0.00907736,0.0272321,0.00907736,0.0272321,0.00907736
81,3347.99,0.78167,0.43002,0.01042,0.98681,0.9692,0.99385,0.90551,0.5301,0.19159,0.01059,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
82,3387.91,0.79291,0.42366,0.01057,0.98131,0.97762,0.99395,0.91136,0.51821,0.18387,0.01022,0.027095,0.00903166,0.027095,0.00903166,0.027095,0.00903166,0.027095,0.00903166
83,3427.97,0.77066,0.42028,0.0103,0.96197,0.98321,0.99309,0.89892,0.54063,0.20775,0.01075,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
84,3468.33,0.77508,0.41555,0.01019,0.98624,0.9788,0.99428,0.91058,0.51313,0.17748,0.01021,0.0269549,0.00898497,0.0269549,0.00898497,0.0269549,0.00898497,0.0269549,0.00898497
85,3508.42,0.77003,0.41003,0.01023,0.97996,0.97934,0.9939,0.91155,0.52709,0.18151,0.01034,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
86,3548.27,0.77026,0.40517,0.01024,0.97368,0.98115,0.99343,0.90614,0.50351,0.19768,0.01013,0.026812,0.00893732,0.026812,0.00893732,0.026812,0.00893732,0.026812,0.00893732
87,3588.47,0.76528,0.39488,0.01004,0.97375,0.97644,0.99292,0.90549,0.51698,0.19134,0.01056,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
88,3628.36,0.75807,0.42455,0.01021,0.97642,0.98233,0.99407,0.90974,0.49676,0.17767,0.01002,0.0266661,0.0088887,0.0266661,0.0088887,0.0266661,0.0088887,0.0266661,0.0088887
89,3668.64,0.74078,0.40181,0.00974,0.97648,0.97801,0.9937,0.91158,0.50214,0.18354,0.01011,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
90,3708.69,0.7505,0.40322,0.01004,0.99052,0.98448,0.99464,0.90752,0.51625,0.1814,0.01071,0.0265174,0.00883914,0.0265174,0.00883914,0.0265174,0.00883914,0.0265174,0.00883914
91,3748.88,0.75313,0.41376,0.01007,0.97108,0.98863,0.99358,0.90206,0.51271,0.18488,0.0103,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
92,3788.82,0.77144,0.41103,0.01012,0.97547,0.98587,0.99402,0.91041,0.49738,0.17587,0.00995,0.0263659,0.00878864,0.0263659,0.00878864,0.0263659,0.00878864,0.0263659,0.00878864
93,3829.18,0.75147,0.40936,0.01007,0.98345,0.98017,0.99384,0.92077,0.49103,0.18643,0.00975,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
94,3869.14,0.74177,0.38927,0.00969,0.98008,0.98497,0.99404,0.91646,0.4907,0.17849,0.00994,0.0262117,0.00873723,0.0262117,0.00873723,0.0262117,0.00873723,0.0262117,0.00873723
95,3910.02,0.74261,0.40124,0.00972,0.98336,0.97425,0.99343,0.91151,0.48698,0.18058,0.00959,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
96,3950.5,0.73278,0.39568,0.00961,0.98806,0.97502,0.99392,0.91381,0.49506,0.17422,0.00965,0.0260547,0.0086849,0.0260547,0.0086849,0.0260547,0.0086849,0.0260547,0.0086849
97,3990.51,0.74534,0.38483,0.00996,0.98585,0.98493,0.99443,0.92223,0.48695,0.16294,0.00955,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
98,4030.82,0.72708,0.38249,0.00947,0.98359,0.98848,0.99445,0.92012,0.47814,0.16474,0.00943,0.025895,0.00863167,0.025895,0.00863167,0.025895,0.00863167,0.025895,0.00863167
99,4071.08,0.72138,0.39338,0.00949,0.97401,0.96584,0.99213,0.91804,0.47015,0.19004,0.00927,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
100,4111.08,0.72671,0.38016,0.00951,0.97891,0.98409,0.99433,0.92115,0.4799,0.17896,0.0094,0.0257327,0.00857756,0.0257327,0.00857756,0.0257327,0.00857756,0.0257327,0.00857756
101,4151.21,0.7378,0.39381,0.00985,0.98319,0.98115,0.99404,0.91703,0.47083,0.17462,0.00946,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
102,4191.38,0.73177,0.38323,0.00946,0.98011,0.9894,0.9942,0.91922,0.47838,0.17705,0.00945,0.0255677,0.00852258,0.0255677,0.00852258,0.0255677,0.00852258,0.0255677,0.00852258
103,4231.83,0.73237,0.40221,0.00958,0.9786,0.96935,0.99333,0.9122,0.47453,0.18311,0.00946,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477
104,4272.16,0.74123,0.40068,0.00974,0.98922,0.97247,0.99402,0.92357,0.46043,0.17091,0.00901,0.0254002,0.00846674,0.0254002,0.00846674,0.0254002,0.00846674,0.0254002,0.00846674
105,4312.59,0.73903,0.3981,0.00976,0.98701,0.98445,0.99433,0.91753,0.50061,0.16582,0.01001,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
106,4352.43,0.71306,0.36652,0.00952,0.97665,0.98551,0.99409,0.9242,0.46891,0.16775,0.00934,0.0252302,0.00841006,0.0252302,0.00841006,0.0252302,0.00841006,0.0252302,0.00841006
107,4392.98,0.72924,0.38319,0.00954,0.9754,0.98087,0.99382,0.92129,0.46261,0.17525,0.00909,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141
108,4433.18,0.723,0.3914,0.00948,0.98039,0.98587,0.99365,0.91473,0.46795,0.17676,0.00908,0.0250577,0.00835255,0.0250577,0.00835255,0.0250577,0.00835255,0.0250577,0.00835255
109,4473.57,0.70268,0.37756,0.00904,0.97054,0.97012,0.99188,0.92201,0.46227,0.18241,0.00898,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
110,4513.84,0.70905,0.3939,0.0093,0.98563,0.96968,0.99388,0.92442,0.47052,0.17185,0.00924,0.0248827,0.00829423,0.0248827,0.00829423,0.0248827,0.00829423,0.0248827,0.00829423
111,4554.1,0.70244,0.37696,0.00922,0.97883,0.98017,0.99404,0.92684,0.44212,0.16939,0.00862,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
112,4594.24,0.69857,0.36922,0.00921,0.98339,0.97649,0.9942,0.93191,0.44415,0.16174,0.00886,0.0247053,0.00823511,0.0247053,0.00823511,0.0247053,0.00823511,0.0247053,0.00823511
113,4634.47,0.71259,0.38492,0.0092,0.98246,0.98986,0.99456,0.92887,0.46057,0.16045,0.00901,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
114,4674.6,0.70565,0.38822,0.00914,0.98151,0.96702,0.99381,0.93055,0.44291,0.17122,0.00868,0.0245256,0.0081752,0.0245256,0.0081752,0.0245256,0.0081752,0.0245256,0.0081752
115,4714.5,0.70541,0.37524,0.00908,0.98129,0.9894,0.99446,0.92565,0.45585,0.16206,0.0088,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495
116,4754.69,0.6961,0.37387,0.00911,0.98471,0.98591,0.99425,0.92851,0.45297,0.15566,0.00887,0.0243435,0.00811452,0.0243435,0.00811452,0.0243435,0.00811452,0.0243435,0.00811452
117,4794.95,0.69875,0.36124,0.00919,0.98802,0.98469,0.99457,0.9315,0.44305,0.14872,0.00856,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
118,4835.45,0.6908,0.35374,0.00909,0.99162,0.97541,0.9945,0.93352,0.43702,0.14793,0.0085,0.0241592,0.00805308,0.0241592,0.00805308,0.0241592,0.00805308,0.0241592,0.00805308
119,4876.21,0.68991,0.36415,0.00898,0.98909,0.98822,0.99462,0.93434,0.43958,0.1432,0.00862,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208
120,4916.18,0.69374,0.36326,0.00892,0.98956,0.97998,0.99448,0.92676,0.44377,0.15687,0.0087,0.0239727,0.0079909,0.0239727,0.0079909,0.0239727,0.0079909,0.0239727,0.0079909
121,4956.54,0.68659,0.35528,0.00881,0.99406,0.98554,0.99474,0.93323,0.43884,0.14888,0.00847,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
122,4996.62,0.67423,0.35942,0.00872,0.98934,0.98407,0.99427,0.93158,0.43442,0.15337,0.00842,0.023784,0.007928,0.023784,0.007928,0.023784,0.007928,0.023784,0.007928
123,5036.84,0.685,0.36055,0.00897,0.99213,0.98822,0.99474,0.93683,0.42999,0.14346,0.00844,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628
124,5077.11,0.68418,0.3485,0.00894,0.99124,0.97644,0.99432,0.93631,0.43141,0.15528,0.00829,0.0235931,0.00786438,0.0235931,0.00786438,0.0235931,0.00786438,0.0235931,0.00786438
125,5117.28,0.67292,0.36117,0.00882,0.98181,0.98587,0.99418,0.9331,0.43091,0.1628,0.00834,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
